"Id","Website Id","Destination Country Id","Zip Code"
"293","1","IN","125076"
"294","1","IN","125110"
"295","1","IN","126102"
"296","1","IN","126110"
"297","1","IN","126114"
"298","1","IN","127021"
"299","1","IN","127022"
"300","1","IN","127025"
"301","1","IN","127027"
"302","1","IN","127030"
"303","1","IN","127031"
"304","1","IN","127032"
"305","1","IN","127111"
"306","1","IN","127201"
"307","1","IN","127309"
"308","1","IN","131001"
"309","1","IN","131021"
"310","1","IN","131022"
"311","1","IN","131024"
"312","1","IN","131027"
"313","1","IN","131028"
"314","1","IN","131029"
"315","1","IN","131039"
"316","1","IN","131101"
"317","1","IN","131102"
"318","1","IN","131103"
"319","1","IN","131402"
"320","1","IN","131403"
"321","1","IN","132001"
"322","1","IN","132022"
"323","1","IN","132023"
"324","1","IN","132024"
"325","1","IN","132026"
"326","1","IN","132036"
"327","1","IN","132037"
"328","1","IN","132041"
"329","1","IN","132054"
"330","1","IN","132101"
"331","1","IN","132102"
"332","1","IN","132103"
"333","1","IN","132104"
"334","1","IN","132105"
"335","1","IN","132106"
"336","1","IN","132107"
"337","1","IN","132108"
"338","1","IN","132110"
"339","1","IN","132113"
"340","1","IN","132114"
"341","1","IN","132115"
"342","1","IN","132116"
"343","1","IN","132117"
"344","1","IN","132118"
"345","1","IN","132122"
"346","1","IN","132140"
"347","1","IN","132145"
"348","1","IN","132151"
"349","1","IN","132152"
"350","1","IN","133001"
"351","1","IN","133002"
"352","1","IN","133004"
"353","1","IN","133005"
"354","1","IN","133006"
"355","1","IN","133007"
"356","1","IN","133021"
"357","1","IN","133101"
"358","1","IN","133103"
"359","1","IN","133104"
"360","1","IN","133204"
"361","1","IN","133206"
"362","1","IN","133207"
"363","1","IN","133301"
"364","1","IN","133302"
"365","1","IN","134001"
"366","1","IN","134002"
"367","1","IN","134003"
"368","1","IN","134004"
"369","1","IN","134005"
"370","1","IN","134007"
"371","1","IN","134009"
"372","1","IN","134011"
"373","1","IN","134101"
"374","1","IN","134102"
"375","1","IN","134103"
"376","1","IN","134104"
"377","1","IN","134107"
"378","1","IN","134108"
"379","1","IN","134109"
"380","1","IN","134110"
"381","1","IN","134111"
"382","1","IN","134112"
"383","1","IN","134113"
"384","1","IN","134114"
"385","1","IN","134115"
"386","1","IN","134116"
"387","1","IN","134117"
"388","1","IN","134118"
"389","1","IN","134119"
"390","1","IN","134151"
"391","1","IN","134152"
"392","1","IN","134201"
"393","1","IN","134202"
"394","1","IN","134203"
"395","1","IN","134204"
"396","1","IN","134205"
"397","1","IN","135001"
"398","1","IN","135002"
"399","1","IN","135003"
"400","1","IN","135004"
"401","1","IN","135012"
"402","1","IN","135021"
"403","1","IN","135101"
"404","1","IN","135102"
"405","1","IN","135103"
"406","1","IN","135106"
"407","1","IN","135133"
"408","1","IN","136020"
"409","1","IN","136026"
"410","1","IN","136027"
"411","1","IN","136030"
"412","1","IN","136033"
"413","1","IN","136034"
"414","1","IN","136038"
"415","1","IN","136118"
"416","1","IN","136119"
"417","1","IN","136128"
"418","1","IN","136130"
"419","1","IN","136131"
"420","1","IN","136132"
"421","1","IN","136156"
"422","1","IN","140001"
"423","1","IN","140101"
"424","1","IN","140103"
"425","1","IN","140105"
"426","1","IN","140108"
"427","1","IN","140109"
"428","1","IN","140110"
"429","1","IN","140111"
"430","1","IN","140112"
"431","1","IN","140113"
"432","1","IN","140201"
"433","1","IN","140301"
"434","1","IN","140306"
"435","1","IN","140307"
"436","1","IN","140308"
"437","1","IN","140401"
"438","1","IN","140405"
"439","1","IN","140406"
"440","1","IN","140407"
"441","1","IN","140412"
"442","1","IN","140413"
